alias_speaker_name,correct_name
vrg,vance refrigeration guy
abe,gabe
angels,angela
anglea,angela
bob vance vance refrigeration,bob vance
bob,bob vance
carla fern,carla
carol stills,carol
casey,casey dean
chares,charles
cousin mose,mose
dacvid walalce,david wallace
dacvid wallace,david wallace
david wallcve,david wallace
dan,dan gore
darrly,darryl
darry,darryl
daryl,darryl
deagnelo,deangelo
denagelo,deangelo
diane kelly,diane
dight,dwight
donna muraski,donna
david,david wallace
holy,holly
jo bennett,jo
julius irving,julius
m ichael,michael
mee-maw,meemaw
micael,michael
michal,michael
micheal,michael
mihael,michael
michel,michael
miichael,michael
video michael,michael
nellie bertram,nellie
packer,todd packer
todd,todd packer
pete halpert,pete
phil maguire,phil
phylis,phyllis
phyliss,phyllis
robert california,robert
ryan howard,ryan
sandy,andy
stanely,stanley
senator liptop,senator lipton
sensei ira,sensei
teddy wallace,teddy
tom halpert,tom
walt jr,walter jr
warehouse michael,michael
younger michael,michael
"dunmiff, sys",
song,
dwightkschrute,
jim9334,
men,
others,
new instant message,
offscreen,
oscar's computer,
overhead,
pam as fourthbiggest client,pam
pam as ninthbiggest client,pam
philip,phillip
radio,
receptionitis15,
ryans voicemail,ryan
senator,senator lipton
all,
everyone,
michaels ad,michael
oscars voice from the computer,oscar
hunters cd,hunter
all but oscar,
all girls,
all the men,
voicemail,
voice on cd player,
various,
vrg 2,vance refrigeration guy 2
vrg 1,vance refrigeration guy 1
gps,
oscars computer,
